date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:00:07	83070/83070	---MCZ	200	added ('OK')	text/html	date:Mon,%2015%20Feb%202016%2017:31:28%20GMT	https://www.wedmegood.com/	C:/My%20Web%20Sites/ShaddiJugaad/www.wedmegood.com/index.html	(from )
23:00:07	147/147	---MCZ	200	added ('OK')	text/plain	etag:%229b-52a243d674283-gzip%22	https://www.wedmegood.com/robots.txt		(from )
23:00:08	26299/26299	---MC-	200	added ('OK')	text/javascript	date:Thu,%2004%20Feb%202016%2000:31:28%20GMT	http://www.google-analytics.com/analytics.js	C:/My%20Web%20Sites/ShaddiJugaad/www.google-analytics.com/analytics.js	(from https://www.wedmegood.com/)
23:00:09	3725/3725	---M-Z	200	added ('OK')	application/javascript	date:Wed,%2027%20Jan%202016%2000:25:47%20GMT	https://d31qbv1cthcecs.cloudfront.net/atrk.js	C:/My%20Web%20Sites/ShaddiJugaad/d31qbv1cthcecs.cloudfront.net/atrk.js	(from https://www.wedmegood.com/)
23:00:09	43/43	---M--	200	added ('OK')	image/gif	etag:%22221d8352905f2c38b3cb2bd191d630b0%22	https://d5nxst8fruw4z.cloudfront.net/atrk.gif?account=y+Rnk1a0Sn00EF	C:/My%20Web%20Sites/ShaddiJugaad/d5nxst8fruw4z.cloudfront.net/atrk64cb.gif	(from https://www.wedmegood.com/)
23:00:10	109518/109518	---M--	200	added ('OK')	text/css	etag:%22385b964b68acb68d23cb43a5218fade9%22	https://d2eanzqpmoo3ec.cloudfront.net/css/bootstrap-3.2.min.css	C:/My%20Web%20Sites/ShaddiJugaad/d2eanzqpmoo3ec.cloudfront.net/css/bootstrap-3.2.min.css	(from https://www.wedmegood.com/)
23:00:10	1833/1833	---M--	200	added ('OK')	text/css	etag:%22addfcb004055b5b3f1c33879b8b4fb06%22	https://d2eanzqpmoo3ec.cloudfront.net/newcss/iconstyle.css	C:/My%20Web%20Sites/ShaddiJugaad/d2eanzqpmoo3ec.cloudfront.net/newcss/iconstyle.css	(from https://www.wedmegood.com/)
23:00:11	3830/3830	---M--	200	added ('OK')	text/css	etag:%229dbb3c7dacfcae0409d8587382a8c73e%22	https://d2eanzqpmoo3ec.cloudfront.net/newUI/DateTimePicker.css	C:/My%20Web%20Sites/ShaddiJugaad/d2eanzqpmoo3ec.cloudfront.net/newUI/DateTimePicker.css	(from https://www.wedmegood.com/)
23:00:11	103589/103589	---M--	200	added ('OK')	text/css	etag:%2279bb0e5cd978febe0c703969a3b59285%22	https://d2eanzqpmoo3ec.cloudfront.net/newUI/common.css?v=1.0.39	C:/My%20Web%20Sites/ShaddiJugaad/d2eanzqpmoo3ec.cloudfront.net/newUI/commoncf53.css	(from https://www.wedmegood.com/)
23:00:11	4162/4162	---M--	200	added ('OK')	text/css	etag:%225b7975f9c3187cdec451621a2d1a50f4%22	https://d2eanzqpmoo3ec.cloudfront.net/newUI/mobile.css?v=0.4	C:/My%20Web%20Sites/ShaddiJugaad/d2eanzqpmoo3ec.cloudfront.net/newUI/mobile1e02.css	(from https://www.wedmegood.com/)
